L000000;Distrib_DLC_10042026;10042026
L000001;00;3019008187900;LACROIX CHRYSTEL;;23;CITE VAUBAN;;;49000;ANGERS;FRANCE;;06 12 41 60 93;;chrystel.lacroix49@gmail.com;;;;;;01;0;00;00;;0000000;02;01;01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
L000002;00;3019000487503;FONDATION JEROME SEYDOUX - PATHE;;73;AVENUE DES GOBELINS;;;75013;PARIS;FRANCE;;01 83 79 18 96;;contact@fondationpathe.com;fondation-jeromeseydoux-pathe.com;49205540500038;;;;01;0;00;00;;0000000;02;01;01;1;0;1;0;0;0;0;0;0;0;0;0;0;0;FIN
L000003;00;3019000198706;OLIVIER REBAUDET;DISTRIBUTION;36;ROUTE DES AQUEDUCS;;;69630;CHAPONOST;FRANCE;;06 52 10 50 19;;orebaudet@gmail.com;rebaudet-olivier.e-monsite.com;80165815400019;;;;01;0;00;00;;;02;01;02;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
L000004;00;3019000523706;MATHEYSINE EDITIONS;;34;RUE DU BREUIL;;;38350;LA MURE;FRANCE;;06 48 20 40 33;;matheysine.editions@gmail.com;;95282021500012;FR55952820215;;;01;0;00;00;;;02;01;02;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
L000005;00;3019000523805;EDITIONS BANYAN;;14;RUE CHARLES V;;;75004;PARIS;FRANCE;;06 19 46 62 09;;contact@editions-banyan.com;www.editions-banyan.com;92790649500019;;;;01;0;00;00;;;02;01;02;1;0;1;0;0;0;0;0;0;0;0;0;0;0;FIN
L000006;00;3019000340808;IBARA EDITIONS;IBARA;31B;RUE MARCHAVENNE;;;02630;PETIT VERLY;FRANCE;;06 10 90 56 33;;ibara@wanadoo.fr;www.leshommesrouges.com;40195634700058;FR70401956347;;;01;0;00;00;;;02;01;02;1;0;1;0;0;0;0;0;0;0;0;0;0;0;FIN
L000007;00;3019000340907;MFG;BORNOT ALEXIS;18;RUE DE LA FONTAINE AUX SOEURS;;;21110;THOREY EN PLAINE;FRANCE;;07 85 47 60 55;;contact@mfg-editions.fr;;53274585800045;FR14532745858;;;01;1;00;00;;0000000;02;01;01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
L000008;00;3019000341003;MARION DESCAMPS;;21; RUE DES BRISES;;;17137;L�HOUMEAU;FRANCE;;06 26 78 65 92;;marion.descamps@gmail.com;;51532097600027;;;;01;0;00;00;;0000000;02;01;01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
L000009;00;3019000341201;TOUK TOUK;HIPPOPO EDITIONS;;ALLEE DU BORD DE L'EAU;;;13920;ST MITRE LES REMPARTS;FRANCE;;07 82 10 55 37;;pro@touktouk-magazine.com;;85203287900011;;;;01;0;00;00;;0000000;02;01;01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
L000010;00;3019000341300;JAZZDOR SERIES;JAZZDOR;4;RUE DE BITCHE;;;67000;STRASBOURG;FRANCE;;03 88 36 30 48;;info@jazzdor.com;www.jazzdor.com;34335124300062;FR71343351243;;;01;0;00;00;;0000000;02;01;01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
L000011;00;3019000395709;EDITIONS NI FAIT NI A FAIRE;EDITIONS NI FAIT NI A FAIRE;5;RUE JOACHIM DU BELLAY;;;29200;BREST;FRANCE;;06 83 98 77 15;;contact@editions-nifaitniafaire.fr;www.editions-nifaitniafaire.fr;90383143600014;FR67903831436;;;01;0;00;00;;0000000;02;01;01;1;0;1;0;0;0;0;0;0;0;0;0;0;0;FIN
L000012;00;3019000341607;MARTINE VITA CIOFI;;4;ALLEE DES MARRONNIERS;LE REPOS;;13170;LES PENNES MIRABEAU;FRANCE;;06 74 52 20 12;;martine.ciofi@orange.fr;martine-vita.fr;90059586900018;;;;01;0;00;00;;0000000;02;01;01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
L000013;00;3019000341706;YVES MONTMARTIN;;19;CHEMIN DE VALENCIEUX;;;42510;BALIBIGNY;FRANCE;;06 48 38 09 40;;yves.montmartin@orange.fr;yvesmontmartin.wixsite.com/monsite;84359195900013;;;;01;0;00;00;;0000000;02;01;01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FIN
